"id","s1"
"4465400",1952.18389910276
"608629349064811166",1908.3725975478
"981894508939312892",1898.92089428766
"52014961",1901.07346773864
"836285112356489303",1833.86941542668
"729730483477613494",2096.60838969315
"944215862491317970",1021.53707791428
"903006033557171147",1867.30191799152
"564880673945279487",1554.50110642994
"764443008812380227",2132.91509956556
"1011226885622723129",1755.59146795511
"13111653",1903.51897134407
"4075378",1591.42230175326
"840731158280306977",1894.09180705485
"628492950660821905",1835.65089669797
"18829637",1667.62134034279
"9074376",1775.14150416143
"1023654063534177793",1894.16045109757
"32186644",2060.2438139536
"51517972",1954.01442795047
"930044757866918155",1971.51981193803
"47730733",1891.88020555377
"644832400238584702",1822.4202977481
"563811005512806585",2001.11612962082
"946658103976441380",1827.34396651498
"641935676868138681",1963.58564393919
"36575124",1603.90811196538
"10992078",1640.87109373953
"792767566503426938",2056.11959777206
"28374232",1943.18568049993
"903719953366256795",1966.05251088202
"40448057",1963.05103854318
"21100013",1886.04951370583
"38131507",1880.13074758456
"3742414",1734.71407249873
"41269818",1977.70578757808
"51659675",1739.56206994396
"711026764081424364",1961.99110460138
"34312548",1639.34587559427
"12156919",1807.68517444225
"22943194",1827.07655211835
"641286360676071042",1921.36547753252
"841410712756779955",1907.46435850943
"46585029",1966.54117297347
"11242550",1725.73553709176
"28364428",1610.59966106073
"633435043601003244",1897.50409429529
"19434101",1941.70277049055
"919835952050197567",1992.86617136445
"46101575",1775.14150416143
"943608459019031145",917.742477975504
"51657992",1905.68414170158
"932459421467233660",1906.55611947106
"52799181",2012.16760427766
"29998069",1786.43041464869
"36324641",1904.95241696191
"35939545",1901.49691704965
"717551955250963710",1922.02186026283
"29214094",1982.94433863221
"996726509410904870",1720.34580165712
"53514361",1869.04340992242
"17703644",1778.76706042346
"48258797",1887.19369103341
"1016326008395573822",930.254984975733
"54267773",1974.62293708102
"34180296",2010.71727524648
"17497419",1904.01857295572
"1010953851934743611",1776.46591616412
"979911523694843918",2020.42845446749
"1037980108699410965",1899.17957078695
"53741351",1692.94855934836
"923533539114172105",2015.45786949059
"53223007",2011.83204691264
"969545323180749749",1768.63209783524
"30204180",1895.82326875821
"38880792",1897.77338380481
"811650296544480046",1803.46790914087
"39205913",2011.44243976207
"917042757640231846",1852.19320875889
"591501265133490901",2005.80993100911
"706517007757035755",1542.85599828931
"4256725",1994.42966514948
"1030539740098574302",1762.39722958459
